file,error
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/KBo 32.144.xml,"not well-formed (invalid token): line 4, column 72"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/CHDS 2.163.xml,"not well-formed (invalid token): line 5, column 0"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/KBo 37.149.xml,"not well-formed (invalid token): line 5, column 0"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/KBo 37.106.xml,"not well-formed (invalid token): line 7, column 63"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/ABoT 2.261.xml,"not well-formed (invalid token): line 4, column 54"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/KBo 39.193.xml,"not well-formed (invalid token): line 5, column 0"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/KBo 62.44.xml,"not well-formed (invalid token): line 4, column 51"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/ABoT 2.260.xml,"not well-formed (invalid token): line 8, column 52"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/KBo 51.238+.xml,"not well-formed (invalid token): line 5, column 0"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/ABoT 2.262.xml,"not well-formed (invalid token): line 6, column 0"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/KBo 43.236.xml,"not well-formed (invalid token): line 7, column 0"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/KBo 14.123.xml,"not well-formed (invalid token): line 8, column 60"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/ABoT 2.263.xml,"not well-formed (invalid token): line 6, column 0"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/KBo 49.240.xml,"not well-formed (invalid token): line 4, column 112"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/KBo 40.109.xml,"not well-formed (invalid token): line 5, column 0"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/CHDS 2.77.xml,"not well-formed (invalid token): line 5, column 0"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/KBo 41.121.xml,"not well-formed (invalid token): line 8, column 92"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/KBo 64.209.xml,"not well-formed (invalid token): line 4, column 52"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/IBoT 4.249.xml,"not well-formed (invalid token): line 2, column 115"
TLHbasisONLINE25.1_ZENODO/CTH 819_XML/KUB 4.89.xml,"mismatched tag: line 20, column 122"
TLHbasisONLINE25.1_ZENODO/CTH 776_XML/KBo 35.183.xml,"mismatched tag: line 2, column 40"
TLHbasisONLINE25.1_ZENODO/CTH 212_XML/KUB 31.103.xml,"not well-formed (invalid token): line 4, column 216"
TLHbasisONLINE25.1_ZENODO/CTH 401_XML/FHL 115.xml,"mismatched tag: line 7, column 188"
TLHbasisONLINE25.1_ZENODO/CTH 167_XML/KBo 9.43+.xml,"not well-formed (invalid token): line 28, column 214"
TLHbasisONLINE25.1_ZENODO/CTH 832_XML/KBo 34.219.xml,"not well-formed (invalid token): line 15, column 62"
TLHbasisONLINE25.1_ZENODO/CTH 832_XML/KBo 14.102.xml,"not well-formed (invalid token): line 17, column 29"
TLHbasisONLINE25.1_ZENODO/CTH 832_XML/KBo 33.111.xml,"not well-formed (invalid token): line 11, column 31"
TLHbasisONLINE25.1_ZENODO/CTH 832_XML/FHL 108.xml,"not well-formed (invalid token): line 5, column 0"
TLHbasisONLINE25.1_ZENODO/CTH 832_XML/FHL 35.xml,"not well-formed (invalid token): line 5, column 0"
TLHbasisONLINE25.1_ZENODO/CTH 832_XML/KBo 22.42.xml,"not well-formed (invalid token): line 4, column 31"
TLHbasisONLINE25.1_ZENODO/CTH 832_XML/FHL 130.xml,"not well-formed (invalid token): line 6, column 49"
TLHbasisONLINE25.1_ZENODO/CTH 832_XML/KBo 65.42.xml,"not well-formed (invalid token): line 5, column 0"
TLHbasisONLINE25.1_ZENODO/CTH 832_XML/CHDS 2.122.xml,"not well-formed (invalid token): line 8, column 68"
TLHbasisONLINE25.1_ZENODO/CTH 832_XML/KBo 16.45.xml,"not well-formed (invalid token): line 12, column 89"
TLHbasisONLINE25.1_ZENODO/CTH 832_XML/KBo 61.335.xml,"not well-formed (invalid token): line 5, column 31"
TLHbasisONLINE25.1_ZENODO/CTH 832_XML/KBo 8.125.xml,"not well-formed (invalid token): line 4, column 51"
TLHbasisONLINE25.1_ZENODO/CTH 832_XML/DAAM 1.19.xml,"not well-formed (invalid token): line 5, column 0"
TLHbasisONLINE25.1_ZENODO/CTH 832_XML/KBo 39.273.xml,"not well-formed (invalid token): line 5, column 52"
TLHbasisONLINE25.1_ZENODO/CTH 832_XML/FHL 79.xml,"not well-formed (invalid token): line 5, column 48"
TLHbasisONLINE25.1_ZENODO/CTH 832_XML/KBo 67.229.xml,"not well-formed (invalid token): line 5, column 0"
TLHbasisONLINE25.1_ZENODO/CTH 832_XML/KBo 57.253.xml,"not well-formed (invalid token): line 6, column 0"
TLHbasisONLINE25.1_ZENODO/CTH 832_XML/KBo 27.34.xml,"not well-formed (invalid token): line 4, column 85"
TLHbasisONLINE25.1_ZENODO/CTH 832_XML/KBo 67.179.xml,"not well-formed (invalid token): line 13, column 0"
TLHbasisONLINE25.1_ZENODO/CTH 832_XML/Durham 2470.xml,"not well-formed (invalid token): line 4, column 85"
TLHbasisONLINE25.1_ZENODO/CTH 832_XML/DBH 46_2.118.xml,"not well-formed (invalid token): line 4, column 95"
TLHbasisONLINE25.1_ZENODO/CTH 832_XML/UBT 70.xml,"not well-formed (invalid token): line 7, column 64"
TLHbasisONLINE25.1_ZENODO/CTH 832_XML/KBo 67.285.xml,"not well-formed (invalid token): line 5, column 0"
TLHbasisONLINE25.1_ZENODO/CTH 832_XML/KBo 64.219.xml,"not well-formed (invalid token): line 5, column 55"
TLHbasisONLINE25.1_ZENODO/CTH 832_XML/KBo 32.124.xml,"not well-formed (invalid token): line 5, column 0"
TLHbasisONLINE25.1_ZENODO/CTH 832_XML/KBo 12.16.xml,"not well-formed (invalid token): line 8, column 53"
TLHbasisONLINE25.1_ZENODO/CTH 577_XML/KBo 41.201.xml,"no element found: line 1, column 0"
TLHbasisONLINE25.1_ZENODO/CTH 760_XML/KBo 64.180.xml,"mismatched tag: line 3, column 53"
